State,MMR_2019,Exempt_2019,MMR_2020,Exempt_2020,MMR_2021,Exempt_2021,MMR_2022,Exempt_2022,MMR_2023,Exempt_2023,MMR_2024,Exempt_2024,MMR_2025,Exempt_2025
Alabama,90.6,0.8,86.6,1.2,94.7,1.3,94.9,1.7,93.9,2.0,93.8,2.2,95.2,2.3
Alaska,,7.1,,, ,78.0,4.6,83.6,5.7,84.3,9.5,81.2,9.4,
Arizona,92.9,6.0,92.8,5.5,91.9,5.5,90.6,6.8,89.9,7.4,89.3,8.5,88.6,9.1
Arkansas,94.2,1.8,94.3,1.9,93.2,2.0,92.5,2.5,91.9,3.1,92.5,3.5,89.6,3.6
California,96.5,0.6,96.5,0.8,95.1,0.5,96.3,0.2,96.5,0.2,96.2,0.1,96.1,0.1
Colorado,87.4,4.9,91.1,4.9,90.5,4.2,88.4,3.2,87.0,4.3,88.3,4.2,88.0,4.2
Connecticut,95.9,2.7,96.2,2.5,95.3,2.6,95.7,2.3,97.3,0.8,97.7,0.5,98.2,0.4
Delaware,97.8,1.2,,,95.7,2.4,96.4,1.2,95.1,2.1,93.8,2.5,94.1,2.6
District of Columbia,,,,,,82.0,0.5,87.5,1.3,92.0,2.3,92.7,2.7
Florida,93.8,3.2,93.5,3.4,93.3,3.1,91.7,3.9,90.6,4.5,88.1,4.8,88.8,5.1
Georgia,93.6,2.5,93.1,3.0,88.5,2.9,83.2,4.7,88.1,3.8,88.4,3.6,86.8,4.8
Hawaii,91.5,4.4,89.7,6.1,90.7,3.7,94.3,3.4,86.4,6.4,89.8,5.3,89.9,5.5
Idaho,89.5,7.7,89.1,7.6,86.5,8.2,83.9,9.8,81.3,12.1,79.6,14.3,78.5,15.4
Illinois,94.7,1.8,96.6,2.0,, ,92.1,1.7,91.7,2.1,91.6,2.5,91.8,2.8
Indiana,91.2,1.3,94.4,2.2,93.1,1.9,92.1,2.4,92.0,2.8,90.8,2.4,90.8,2.6
Iowa,93.3,2.4,93.2,2.5,93.4,2.2,90.6,2.4,89.9,3.0,89.1,3.4,88.8,3.9
Kansas,90.8,2.1,90.4,2.1,92.6,2.0,91.1,2.3,91.6,2.9,90.4,3.0,91.0,3.6
Kentucky,93.4,1.4,93.1,1.8,88.9,1.0,86.5,1.3,90.1,1.7,90.0,2.3,86.9,2.2
Louisiana,95.5,1.2,95.6,1.5,96.2,1.1,93.7,1.1,92.2,2.3,92.4,2.8,92.6,3.1
Maine,93.8,6.2,94.1,5.9,94.3,4.5,96.7,1.8,96.8,0.9,97.5,1.0,97.6,0.8
Maryland,97.4,1.5,97.9,1.4,87.6,0.9,93.9,1.5,96.7,1.9,96.6,2.2,96.4,2.2
Massachusetts,96.9,1.4,97.3,1.3,95.9,1.1,96.2,1.0,96.5,1.4,96.3,1.4,96.6,1.5
Michigan,94.6,4.5,94.8,4.4,94.6,3.7,93.6,4.5,92.9,5.4,92.1,5.6,91.6,6.8
Minnesota,92.6,3.7,92.6,3.8,89.8,2.8,89.0,3.7,87.6,4.5,87.0,5.4,86.5,5.9
Mississippi,99.2,0.1,99.1,0.2,98.9,0.1,98.6,0.1,98.4,0.2,97.5,0.7,97.6,1.2
Missouri,94.8,2.7,94.6,2.7,92.6,2.5,91.6,3.0,91.3,3.8,90.4,4.7,90.0,5.2
Nebraska,96.9,2.1,96.3,2.2,95.5,2.2,96.2,2.5,95.1,2.6,93.9,3.5,94.2,4.0
Nevada,95.1,3.3,95.4,4.0,96.1,4.4,92.7,4.8,92.8,5.6,91.9,6.7,91.3,7.1
New Hampshire,91.8,3.3,91.5,3.1,90.8,2.8,88.7,3.4,89.4,3.4,89.2,4.1,89.2,4.1
New Jersey,95.0,2.5,95.9,2.6,94.3,2.2,94.1,2.6,94.3,3.2,93.2,3.9,92.8,4.7
New Mexico,96.1,1.5,97.0,1.5,95.7,0.9,94.3,1.4,94.9,1.5,95.0,1.6,94.8,2.0
New York,97.2,1.3,98.6,0.1,98.3,0.1,98.0,0.1,97.9,0.1,97.7,0.1,97.8,0.3
North Carolina,93.2,1.6,95.5,1.7,95.2,1.5,96.1,1.9,93.8,2.4,93.8,2.9,94.2,3.2
North Dakota,93.6,4.3,94.8,3.9,93.3,4.2,91.5,5.3,92.0,5.1,90.9,6.5,90.0,7.0
Ohio,91.6,2.9,92.4,2.8,89.6,2.5,88.3,3.0,89.3,3.8,89.2,4.2,88.3,4.7
Oklahoma,92.2,2.6,93.0,2.7,90.5,2.4,90.9,3.5,89.6,4.7,88.3,5.7,88.7,5.7
Oregon,93.0,7.7,93.4,7.1,92.7,5.4,93.0,7.0,91.9,8.2,91.2,8.9,90.5,9.8
Pennsylvania,96.4,2.9,96.6,3.0,95.5,2.7,95.0,3.3,94.0,3.8,93.5,5.0,92.4,6.0
Rhode Island,97.4,1.3,97.7,1.3,97.0,1.0,97.3,1.2,96.9,1.5,97.1,1.7,96.7,1.9
South Carolina,94.2,2.6,95.0,2.6,94.4,2.4,92.7,3.4,93.2,4.1,92.1,4.4,91.2,4.6
South Dakota,96.2,2.6,96.0,2.7,94.6,3.4,93.7,3.5,92.5,4.1,90.8,5.7,90.0,6.8
Tennessee,96.5,1.9,96.8,2.0,96.6,1.9,95.8,2.4,95.4,3.2,95.1,3.6,94.4,3.8
Texas,96.9,2.4,96.9,2.5,95.3,2.3,94.0,2.9,94.2,3.5,94.3,3.9,93.2,4.3
Utah,92.8,5.7,92.7,5.4,91.4,5.1,90.0,7.4,90.0,8.1,88.8,9.3,88.6,10.3
Vermont,93.0,4.7,94.5,3.7,94.0,3.2,93.4,3.3,93.1,3.6,92.9,4.0,93.5,3.9
Virginia,95.0,1.7,94.6,1.7,95.8,1.5,95.5,1.8,95.8,2.2,94.2,2.4,95.6,2.7
Washington,90.8,5.0,94.4,5.7,94.4,3.3,92.5,3.7,91.4,4.0,91.3,4.8,90.9,4.8
West Virginia,98.8,0.8,98.2,0.1,, ,96.5,0.1,95.6,0.1,98.3,0.1,,
Wisconsin,92.6,5.9,92.8,5.7,87.2,5.2,82.6,6.3,86.5,7.2,84.8,8.0,84.8,7.6
Wyoming,95.1,2.9,94.5,3.5,90.2,3.0,92.9,3.9,90.8,4.8,93.5,5.6,93.6,5.9
